code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2021-01-08,HOSE,35.7,16947900.0,605116810000.0,1.1,3.1792
TCB,2021-01-07,HOSE,34.6,16387200.0,557933365000.0,1.4,4.2169
TCB,2021-01-06,HOSE,33.2,20222300.0,676760990000.0,0.15,0.4539
TCB,2021-01-05,HOSE,33.05,14280100.0,471763325000.0,0.05,0.1515
TCB,2021-01-04,HOSE,33.0,18607800.0,613946930000.0,1.5,4.7619
TCB,2020-12-31,HOSE,31.5,16486510.0,504945594000.0,1.6,5.3512
TCB,2020-12-30,HOSE,29.9,16579440.0,498313937000.0,0.15,0.5042
TCB,2020-12-29,HOSE,29.75,12909770.0,384022002000.0,0.05,0.1684
TCB,2020-12-28,HOSE,29.7,14471300.0,433838930000.0,0.15,0.5076
TCB,2020-12-25,HOSE,29.55,17113750.0,490947472499.99994,1.6,5.7245
TCB,2020-12-24,HOSE,27.95,26106600.0,723384603500.0,-0.75,-2.6132
TCB,2020-12-23,HOSE,28.7,19453550.0,561176591000.0,-0.5,-1.7123
TCB,2020-12-22,HOSE,29.2,17109090.0,499895374499.99994,-0.2,-0.6803
